ncalls,tottime,percall,cumtime,percall
1,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000
25,0.000,0.000,0.000,0.000
41,0.000,0.000,0.000,0.000
67,0.000,0.000,0.000,0.000
109,0.000,0.000,0.000,0.000
177,0.000,0.000,0.000,0.000
287,0.000,0.000,0.000,0.000
465,0.001,0.000,0.001,0.001
753,0.001,0.000,0.001,0.001
1219,0.001,0.000,0.001,0.001
1973,0.002,0.000,0.002,0.002
3193,0.002,0.000,0.002,0.002
5167,0.003,0.000,0.003,0.003
8361,0.004,0.000,0.004,0.004
13529,0.008,0.000,0.008,0.008
21891,0.016,0.000,0.016,0.016
35421,0.027,0.000,0.027,0.027
57313,0.033,0.000,0.033,0.033
92735,0.051,0.000,0.051,0.051
150049,0.086,0.000,0.086,0.086
